,median,median_perc,mean,std,min,max,over_threshold,names
hsa:04136,0.0,0.0,0.003838558544504678,0.011210948675150193,0.0,0.057784803,False,Autophagy - other
hsa:04621,0.0,0.0,3.878990967251462e-05,0.00010449394968202501,0.0,0.00064551807,False,NOD-like receptor signaling pathway
hsa:00310,0.0,0.0,0.0007459581713017543,0.0014331071485525959,0.0,0.007137091,False,Lysine degradation
hsa:04540,5.3684016e-05,0.0335070775049341,0.006227750565346783,0.017060656803346192,0.0,0.07238326,False,Gap junction
hsa:00330,0.00031689723,0.19779258032239852,0.0021213070783900586,0.0031263554072002713,0.0,0.020048842,False,Arginine and proline metabolism
hsa:05034,0.0,0.0,0.001242513151722222,0.0029454733763730713,0.0,0.023173094,False,Alcoholism
hsa:04614,0.0022262468,1.3895201892628808,0.0032682081074795334,0.00401781323594504,0.0,0.026737886,False,Renin-angiotensin system
hsa:00480,1.5021552e-05,0.009375757341037932,0.0016002301014836258,0.0036697182198150526,0.0,0.025515264,False,Glutathione metabolism
hsa:00053,0.0,0.0,0.00048126495910526306,0.0010672594841672073,0.0,0.007708149,False,Ascorbate and aldarate metabolism
hsa:04930,0.001637515,1.0220610548304017,0.0031952301106081857,0.004226051166577186,0.0,0.01978349,False,Type II diabetes mellitus
hsa:00440,0.0,0.0,0.0021012407861450287,0.0048710565423241954,0.0,0.029417846,False,Phosphonate and phosphinate metabolism
hsa:00073,0.0,0.0,0.00011658863011403508,0.00028112951664215546,0.0,0.0018260556,False,Cutin
hsa:04371,0.00044475077,0.2775928410566214,0.0008765380923959062,0.0011431650127688832,0.0,0.005385395,False,Apelin signaling pathway
hsa:03266,0.000490475,0.30613178863579343,0.005175416083245616,0.00831978806561987,0.0,0.04142542,False,Virion - Herpesvirus
hsa:04971,0.00039491832,0.24648973274202074,0.002208217519005848,0.0033087979550350576,0.0,0.018619167,False,Gastric acid secretion
hsa:04625,0.00027553627,0.1719769838812068,0.0011820792771228064,0.0023960055208923745,0.0,0.012019297,False,C-type lectin receptor signaling pathway
hsa:00254,0.0002188401,0.13658985929606177,0.0008746950022423976,0.0015007659101519551,0.0,0.006665738,False,Aflatoxin biosynthesis
hsa:04960,0.0006581672,0.4107974966255405,0.005813122495584794,0.007255929803762089,0.0,0.02478778,False,Aldosterone-regulated sodium reabsorption
hsa:05206,0.0,0.0,6.318377176502925e-05,9.900995366038146e-05,0.0,0.00045959753,False,MicroRNAs in cancer
hsa:01524,8.361216e-05,0.052186839477041926,0.00032615727237561413,0.0005557310909388278,0.0,0.0031648432,False,Platinum drug resistance
hsa:00410,0.00041877903,0.26138248330100944,0.0033516050502602323,0.005831820222855949,0.0,0.03715835,False,beta-Alanine metabolism
hsa:00562,2.1911781e-05,0.013676319302157692,0.000715156330308772,0.0013962714482516796,0.0,0.008817198,False,Inositol phosphate metabolism
hsa:05163,1.7518247e-05,0.010934078776438394,0.00019397566475146206,0.0003390206140589709,0.0,0.0018269937,False,Human cytomegalovirus infection
hsa:03050,0.0,0.0,0.00020163299308187133,0.0004597764028691715,0.0,0.002248129,False,Proteasome
hsa:04330,0.000102256934,0.06382404425471691,0.004418014290298245,0.007497922985271864,0.0,0.02972218,False,Notch signaling pathway
hsa:00260,0.0,0.0,0.0005421363160970761,0.0011977179031676982,0.0,0.0053321673,False,Glycine
hsa:05203,0.0,0.0,9.360780816432749e-05,0.00021490271114328496,0.0,0.0010645539,False,Viral carcinogenesis
hsa:04014,5.968113e-05,0.03725019842949245,0.0005448741239152046,0.0012361980142500404,0.0,0.006322708,False,Ras signaling pathway
hsa:04979,0.0,0.0,0.0015993574776900588,0.003063316034277199,0.0,0.010718284,False,Cholesterol metabolism
hsa:04920,0.00039596012,0.24713997607226343,0.0009642520681532159,0.0013068874975768817,0.0,0.007280408,False,Adipocytokine signaling pathway
hsa:04380,4.487967e-06,0.002801181232577432,0.0004599001468333332,0.000830307446549444,0.0,0.004735377,False,Osteoclast differentiation
hsa:00770,8.1791426e-05,0.05105042160446941,0.00038589463786549693,0.0006918200702785289,0.0,0.0031917696,False,Pantothenate and CoA biosynthesis
hsa:05150,0.00016707083,0.10427787760184835,0.003694298467333332,0.009508908842257552,0.0,0.040143315,False,Staphylococcus aureus infection
hsa:09113,0.0,0.0,2.2800189767076024e-05,5.406575900998011e-05,0.0,0.00032263872,False,Global maps only
hsa:00564,1.4247586e-05,0.008892683594316305,0.0005115468571950875,0.0013331213631374724,0.0,0.0061094267,False,Glycerophospholipid metabolism
hsa:03267,4.4496483e-05,0.027772644739879043,0.003020875473625732,0.006363309302183997,0.0,0.032354433,False,Virion - Adenovirus
hsa:05231,0.00010722992,0.0669279518933137,0.0010325485746754388,0.0017267640808967379,0.0,0.0066111973,False,Choline metabolism in cancer
hsa:05200,0.0001426911,0.08906117878670444,0.0005387077628081523,0.0008106746953707456,0.0,0.0035957952,False,Pathways in cancer
hsa:05310,0.00049242115,0.3073464853694772,0.002434411479961403,0.004438793899671137,0.0,0.019581784,False,Asthma
hsa:05320,2.7706968e-05,0.017293406741454083,0.001281511637149123,0.0029118782667002406,0.0,0.014111627,False,Autoimmune thyroid disease
hsa:05416,0.00069261837,0.432300322034982,0.0021557993874385954,0.004817375414531511,0.0,0.02850976,False,Viral myocarditis
hsa:05330,0.0,0.0,0.00026401101983040937,0.0005069380731681324,0.0,0.0034586275,False,Allograft rejection
hsa:00512,1.5331592e-05,0.009569269955847334,0.002324278295081871,0.003658068169549036,0.0,0.018908195,False,Mucin type O-glycan biosynthesis
hsa:04921,5.292629e-05,0.033034140014387495,0.00019264832845029245,0.0004121865161548362,0.0,0.0030347686,False,Oxytocin signaling pathway
hsa:00071,1.5483267e-05,0.00966393846910761,0.00025088295608830403,0.000593382788191582,0.0,0.0050515695,False,Fatty acid degradation
hsa:00290,3.6450747e-05,0.022750868803141405,0.0008231483249368422,0.001236409527024566,0.0,0.0064563025,False,Valine
hsa:04722,7.056378e-05,0.04404264475111397,0.001197412068280701,0.0022376529701486616,0.0,0.01058027,False,Neurotrophin signaling pathway
hsa:04360,0.00016255025,0.10145634084447806,0.0010774654278011692,0.002663088432415309,0.0,0.011277023,False,Axon guidance
hsa:00533,0.0,0.0,0.00021194804665904674,0.0005628826346186595,0.0,0.005953527,False,Glycosaminoglycan biosynthesis - keratan sulfate
hsa:00620,0.0,0.0,9.792925619415202e-05,0.00015067317151394707,0.0,0.00069450896,False,Pyruvate metabolism
hsa:04514,0.0005857376,0.36559029340789423,0.0021020979373625737,0.0034778833869366357,0.0,0.014295967,False,Cell adhesion molecules
hsa:04620,0.00020734617,0.1294158802974286,0.0017497824076163743,0.004721126589709262,0.0,0.020624328,False,Toll-like receptor signaling pathway
hsa:04610,0.0,0.0,0.00023084295998245617,0.0004502724921673517,0.0,0.0026622468,False,Complement and coagulation cascades
hsa:00261,0.0,0.0,0.0018215650313789479,0.004020601668395541,0.0,0.021476373,False,Monobactam biosynthesis
hsa:04973,0.0001995351,0.12454057201411266,0.0025957186995614035,0.004243872255559293,0.0,0.016174616,False,Carbohydrate digestion and absorption
hsa:05100,0.0,0.0,0.0007231415379559648,0.002216190088730324,0.0,0.010842826,False,Bacterial invasion of epithelial cells
hsa:04060,0.0,0.0,0.0031975665589064326,0.0063982318361998835,0.0,0.03382901,False,Cytokine-cytokine receptor interaction
hsa:04976,0.0026299919,1.6415191894482872,0.005427409012730996,0.006588203355454751,0.0,0.026556047,False,Bile secretion
hsa:04916,0.00040865803,0.2550654236490743,0.0015440015869473687,0.0024759294751999974,0.0,0.012026154,False,Melanogenesis
hsa:05214,3.0063762e-05,0.018764408449321163,0.0007376709525299416,0.0011289659506223376,0.0,0.0061421394,False,Glioma
hsa:04213,0.0,0.0,0.0010839787546374267,0.0023920044264608684,0.0,0.008526997,False,Longevity regulating pathway - multiple species
hsa:04914,3.6243913e-05,0.022621772595647252,0.0014865466952163737,0.0034841692894402453,0.0,0.016805433,False,Progesterone-mediated oocyte maturation
hsa:04750,0.0,0.0,0.0019043132040818711,0.0033068977869423607,0.0,0.01605426,False,Inflammatory mediator regulation of TRP channels
hsa:05222,0.000109069166,0.0680759240992798,0.0009664724417608191,0.002401686368442595,0.0,0.020056004,False,Small cell lung cancer
