,median,median_perc,mean,std,min,max,over_threshold,names
hsa:04136,6.807905e-06,0.004699946245731999,0.0011636361999967741,0.002003924915256549,0.0,0.007867685,False,Autophagy - other
hsa:04621,0.0004961282,0.3425100483910652,0.0005131763887258066,0.0005136131827126444,0.0,0.0022276407,False,NOD-like receptor signaling pathway
hsa:00310,0.00049714954,0.3432151468168828,0.0008625441440580644,0.001097841659209257,0.0,0.0035102977,False,Lysine degradation
hsa:04540,4.241715e-05,0.029283358815546206,0.0006702525194999999,0.0012633781875627825,0.0,0.004386161,False,Gap junction
hsa:00330,0.0,0.0,0.0013311118303548392,0.0027884252518780737,0.0,0.009238105,False,Arginine and proline metabolism
hsa:05034,0.0008718386,0.6018877400542813,0.00306511104483871,0.006946654781906656,0.0,0.030878702,False,Alcoholism
hsa:04614,0.0016324527,1.126989865266931,0.0029367748579354836,0.0035718659744998016,0.0,0.01257102,False,Renin-angiotensin system
hsa:00480,0.00034722767,0.23971418285519108,0.001345698755483871,0.003289910050491581,0.0,0.017298881,False,Glutathione metabolism
hsa:00053,1.6348295e-05,0.011286307272115168,0.0004468494847741936,0.0006937421014270474,0.0,0.0024225912,False,Ascorbate and aldarate metabolism
hsa:04930,0.0023901588,1.650084406107797,0.004221702936451613,0.004487790939839494,0.0,0.016187234,False,Type II diabetes mellitus
hsa:00440,0.0005079136,0.35064628802490994,0.0029245457765,0.005339367686034531,0.0,0.0235161,False,Phosphonate and phosphinate metabolism
hsa:00073,0.0001573957,0.10866064219600009,0.00048638656290322577,0.0005889092350681528,0.0,0.0020611465,False,Cutin
hsa:04371,0.0,0.0,0.0003361397051612903,0.000766307284531936,0.0,0.0030579902,False,Apelin signaling pathway
hsa:03266,0.00227547,1.5709071562802053,0.004252174196451615,0.005021433128069301,0.0,0.022466067,False,Virion - Herpesvirus
hsa:04971,0.00053609733,0.3701033773944332,0.0012475060802258063,0.0016811934569838163,0.0,0.0061853854,False,Gastric acid secretion
hsa:04625,3.6111815e-05,0.02493036981800106,0.0005121027288387096,0.0008958384599829374,0.0,0.0035745553,False,C-type lectin receptor signaling pathway
hsa:00254,1.8175584e-05,0.012547805497401416,0.0006010556238387096,0.0010428166609260004,0.0,0.0035545076,False,Aflatoxin biosynthesis
hsa:04960,0.0005518415,0.3809726172977025,0.004335107608225806,0.006047013668852976,0.0,0.018440098,False,Aldosterone-regulated sodium reabsorption
hsa:05206,0.0,0.0,0.00016979808035483873,0.00037484792647419064,0.0,0.0013285129,False,MicroRNAs in cancer
hsa:01524,0.0,0.0,0.0,0.0,0.0,0.0,False,Platinum drug resistance
hsa:00410,0.00065015914,0.4488477746342443,0.0017682992590967743,0.0024774103700865345,0.0,0.008977432,False,beta-Alanine metabolism
hsa:00562,0.0,0.0,0.000279382639232258,0.0008154055306373875,0.0,0.0042806086,False,Inositol phosphate metabolism
hsa:05163,0.0,0.0,0.00011480489129032256,0.00026396681675302695,0.0,0.000982784,False,Human cytomegalovirus infection
hsa:03050,0.0001238995,0.08553600408247057,0.00017520101738709677,0.00023885353669440062,0.0,0.00078111945,False,Proteasome
hsa:04330,0.0037830183,2.6116672686561357,0.008625117745806451,0.015573032742450735,0.0,0.058908626,False,Notch signaling pathway
hsa:00260,0.0006577261,0.45407174665553496,0.0013732660117096774,0.0017859181587513966,0.0,0.005885021,False,Glycine
hsa:05203,6.1111816e-05,0.04218952088477508,0.00018315285059032255,0.00023601066980677112,0.0,0.0008341881,False,Viral carcinogenesis
hsa:04014,0.0,0.0,0.00016486264916129036,0.00046157807090873855,0.0,0.0024849668,False,Ras signaling pathway
hsa:04979,0.00037082066,0.2560019813447547,0.003508049241290323,0.00503793847851237,0.0,0.015700042,False,Cholesterol metabolism
hsa:04920,0.00022725435,0.1568886800137143,0.0009982177711612905,0.0016140746281616996,0.0,0.005590471,False,Adipocytokine signaling pathway
hsa:04380,0.0,0.0,0.0006133740768064518,0.001656987847218543,0.0,0.00644522,False,Osteoclast differentiation
hsa:00770,0.0,0.0,0.000500147695483871,0.0007063138100864529,0.0,0.0024037953,False,Pantothenate and CoA biosynthesis
hsa:05150,0.0007149001,0.493542733200365,0.0033915451617741936,0.007373151424766672,0.0,0.025510523,False,Staphylococcus aureus infection
hsa:09113,7.758056e-06,0.005355898205303778,0.00045453300291838707,0.0007826632839680871,0.0,0.0028582148,False,Global maps only
hsa:00564,0.0,0.0,0.0001042769387096774,0.00022023837519797646,0.0,0.00076743006,False,Glycerophospholipid metabolism
hsa:03267,0.0006209036,0.4286507440661236,0.0032589092245161296,0.005696538606900344,0.0,0.019168349,False,Virion - Adenovirus
hsa:05231,0.0,0.0,0.0009498719364903227,0.0023065540827097797,0.0,0.009139101,False,Choline metabolism in cancer
hsa:05200,0.0,0.0,0.00041951420645161287,0.0009707956787684789,0.0,0.0049667684,False,Pathways in cancer
hsa:05310,0.00040882878,0.28224149568893714,0.001587595768354839,0.002657614032592041,0.0,0.009645455,False,Asthma
hsa:05320,0.00041252642,0.28479422068085,0.0013093737654838711,0.00266681697302927,0.0,0.010529338,False,Autoimmune thyroid disease
hsa:05416,0.00016260825,0.11225920956778192,0.0013659530970967742,0.0021590247257659094,0.0,0.0069351792,False,Viral myocarditis
hsa:05330,0.0,0.0,6.982912939032258e-05,0.00014266142982844853,0.0,0.00059614796,False,Allograft rejection
hsa:00512,0.00026720742,0.18447092173888055,0.003071378593870968,0.006542543672093636,0.0,0.02950489,False,Mucin type O-glycan biosynthesis
hsa:04921,0.0,0.0,0.0003302391891935483,0.0006653327384921449,0.0,0.0024970542,False,Oxytocin signaling pathway
