,median,median_perc,mean,std,min,max,over_threshold,names
hsa:04136,0.0,0.0,0.003428050659951486,0.010384344201458028,0.0,0.057784803,False,Autophagy - other
hsa:04621,0.0,0.0,0.00011159179507178218,0.0002792658991345467,0.0,0.0022276407,False,NOD-like receptor signaling pathway
hsa:00310,0.0,0.0,0.0007638500780118813,0.0013851733062986453,0.0,0.007137091,False,Lysine degradation
hsa:04540,5.3531264e-05,0.03574720522358934,0.005374867201875248,0.01582548294875472,0.0,0.07238326,False,Gap junction
hsa:00330,0.00024381205,0.16281325595700535,0.002000039490820297,0.0030836127865057515,0.0,0.020048842,False,Arginine and proline metabolism
hsa:05034,0.0,0.0,0.001522218768982673,0.0038696053112117195,0.0,0.030878702,False,Alcoholism
hsa:04614,0.0020590375000000003,1.3749878216132978,0.003217344588985149,0.003946097911578689,0.0,0.026737886,False,Renin-angiotensin system
hsa:00480,3.7045684e-05,0.024738434508033286,0.0015611683602658418,0.0036074596629743208,0.0,0.025515264,False,Glutathione metabolism
hsa:00053,0.0,0.0,0.00047598337641089093,0.0010175248052010607,0.0,0.007708149,False,Ascorbate and aldarate metabolism
hsa:04930,0.0019239716,1.2847932682769745,0.003352758118534654,0.00427184165706268,0.0,0.01978349,False,Type II diabetes mellitus
hsa:00440,3.3353839e-05,0.022273087512515263,0.0022275895717935638,0.004940781689474117,0.0,0.029417846,False,Phosphonate and phosphinate metabolism
hsa:00073,0.0,0.0,0.0001733397980173267,0.0003694075863017831,0.0,0.0020611465,False,Cutin
hsa:04371,0.00034635537,0.23128982143373672,0.0007936056666321786,0.0011095265841378126,0.0,0.005385395,False,Apelin signaling pathway
hsa:03266,0.0005603513,0.37419241433202627,0.005033730447153466,0.007900507174646538,0.0,0.04142542,False,Virion - Herpesvirus
hsa:04971,0.000421675225,0.28158705174191684,0.0020607816051336635,0.0031308112720935606,0.0,0.018619167,False,Gastric acid secretion
hsa:04625,0.00027049244,0.1806299355103856,0.0010792610939702968,0.0022436183471866316,0.0,0.012019297,False,C-type lectin receptor signaling pathway
hsa:00254,0.000202000195,0.134892059075423,0.0008327008402101488,0.0014411847606759522,0.0,0.006665738,False,Aflatoxin biosynthesis
hsa:04960,0.000633806,0.4232441280284782,0.005586298428712869,0.007090238125416677,0.0,0.02478778,False,Aldosterone-regulated sodium reabsorption
hsa:05206,0.0,0.0,7.954537357831685e-05,0.00017534788767859988,0.0,0.0013285129,False,MicroRNAs in cancer
hsa:01524,6.3346683e-05,0.042301763646654375,0.00027610343354569314,0.0005244942845055333,0.0,0.0031648432,False,Platinum drug resistance
hsa:00410,0.000446850725,0.29839879310312356,0.003108622478349008,0.0054779680204340795,0.0,0.03715835,False,beta-Alanine metabolism
hsa:00562,1.3282278500000001e-05,0.008869664190562891,0.0006482801697970298,0.0013315116705678281,0.0,0.008817198,False,Inositol phosphate metabolism
