,TARGET-30-PAMZGT-01,TARGET-30-PANGXK-01,TARGET-30-PAPTCR-01,TARGET-30-PAIFXV-01,TH06_0628_S01,TARGET-30-PAIXIF-01,TARGET-30-PANSBN-01,TH06_0622_S01,TH40_2228_S01,TARGET-30-PAITEG-01,TARGET-30-PALCBW-01,TARGET-30-PAPKWN-01,TH40_2249_S01,TARGET-30-PASMJG-01,TARGET-30-PAPTAN-01,TARGET-30-PALKUC-01,THR31_0881_S01,TARGET-30-PANJLH-01,TH40_2262_S01,TARGET-30-PANKFE-01,TH40_2272_S01,TARGET-30-PALVKK-01,TH06_0284_S01,TH40_2235_S01,TARGET-30-PARKGJ-01,TARGET-30-PANXJL-01,TARGET-30-PAPZYZ-01,TARGET-30-PARZCJ-02,TARGET-30-PAPTCR-01,TH06_0628_S01,TARGET-30-PANSBN-01
hsa:09103,-0.02037541,0.008802302,0.008565007,-0.05394135,0.05408711,0.057413343,0.052370798,0.010994991,-0.001684664,0.0025358854,0.0025451195,-0.0013933482,-0.044462852,0.099443525,0.058547027,0.099628896,-0.008244767,-0.0026239336,-7.1102695e-05,0.008516661,0.009265894,0.008936839,0.0134091675,0.005147783,0.00462505,0.008037782,0.008904479,0.00879815,0.008070619,0.008445389,0.008124265
hsa:09111,0.020660624,0.010369262,0.010073268,-0.017974377,0.014590142,0.015485014,0.01416647,0.018908063,0.09514021,0.0072717983,0.007014392,0.0042669256,0.071195655,-0.074334994,0.03588858,-0.05973244,0.047096707,0.022669137,0.03344077,0.011974002,0.017319104,0.014999702,0.05354202,0.021994842,0.0286791,0.0007894422,0.00090834394,0.0008937897,0.0032380193,0.0041436385,0.003375548
hsa:09174,-0.044785183,0.037046578,0.036013298,-0.00012382925,-0.0033651907,-0.0034056809,-0.0034527658,0.036618937,-0.0047062687,0.006349908,-0.010674913,-0.010400342,0.0017528795,0.0012702922,0.0063390983,0.0012509184,-0.0044210097,0.0016015563,-0.0009650093,0.020549107,0.013775778,0.017600253,-0.01403695,-0.0022154043,-0.0011585534,0.018109612,0.018788517,0.017627278,-0.044793036,-0.043709856,-0.044507112
hsa:09122,0.0023701098,0.0018628692,0.0020490752,-0.0004003581,-0.00074989407,-0.00037719827,-0.0007203995,-0.0039590388,-0.0041748276,-0.0001768423,-0.00017379486,8.302842e-05,0.0018238558,0.0013014628,0.0018484271,0.0020730905,-0.010049731,-0.006778852,-0.0069956966,0.0017396482,0.0017391434,0.0022617455,-9.313045e-05,-0.00057922915,0.00021804357,-0.00047918412,-0.00035495555,-0.0004441102,0.00042094887,0.00042231733,0.00043304547
hsa:09123,0.006118738,0.009255692,0.009355494,0.002412138,0.015079816,0.015138051,0.016648995,-0.0006086368,0.0016111427,-0.0026450693,-0.0026025146,0.0020945584,0.0074746087,0.009709114,0.011437259,0.010110499,-0.0018658624,-0.0030228402,-0.0036396843,0.0070468877,0.0071136365,0.0054647527,-0.0019129673,0.00055724476,-0.0016533082,-0.0037010792,-0.0036809286,-0.0018798355,-0.011823662,-0.011527283,-0.011750148
hsa:09151,-0.017040916,0.061882675,0.06748575,0.037370756,0.024413459,0.024333842,0.024420366,0.001587325,0.001335062,0.030757288,0.025977843,0.015058453,-0.0022128567,0.0028834972,0.005505955,0.0031270054,0.055899028,0.028621813,0.049655482,0.009247245,0.011670011,0.011458748,-0.0034546775,0.0065866373,0.009086939,0.03662991,0.036231156,0.034569856,0.011846894,0.011893649,0.011818966
hsa:09112,0.0010446884,0.0002290417,0.00020197211,-0.00022008058,6.424742e-05,-1.8491526e-05,0.0001662146,0.0010246158,0.0052149994,0.0024854916,0.002442647,0.001732487,0.0015342373,0.0011451101,0.0006859316,0.0011977248,0.009941904,0.003985676,0.0078114653,0.000817342,0.00060430425,0.0009275343,-0.0019778209,-0.0017013432,-0.002624915,0.00023413434,0.00026784232,0.00026960846,-0.001204905,-0.0015869032,-0.0013240438
hsa:09159,0.0018139188,-0.00835404,-0.007924483,-0.0015930333,-0.0014203052,-0.0013392397,-0.001431769,0.0014782689,0.0019310688,0.057560455,0.058626816,0.07976563,-0.0007668225,-0.0006288355,-0.0021943725,-0.00072350213,-0.01529994,0.0091063995,0.014384071,0.04854371,0.05051798,0.054737486,-0.0038675126,0.00594603,0.008157331,0.013465017,0.013636476,-0.018660305,0.08803877,0.0879305,0.08772947
hsa:09131,-0.014740264,0.022398833,0.021745915,0.1698449,0.13772409,0.13881382,0.13838345,0.0012847058,0.0046202987,0.028346974,0.027813546,0.06681978,-0.02933985,0.02621825,0.027495101,0.026732277,0.029891608,0.091880865,0.06633549,-0.0016701659,0.00028138503,-0.00167562,0.000587292,0.0011147363,-0.0009405706,0.014108276,0.014116776,0.013736842,0.016278004,0.016332362,0.016279424
hsa:09104,-0.0001526686,0.00019640355,0.00019321784,0.0008716255,0.00088421983,0.00088366464,0.00084345846,-0.00021514081,-0.0008280624,0.006980737,0.0072666295,0.005527774,-0.009556903,-0.009103543,-0.006075862,-0.008983636,0.013725835,0.014813904,0.02000158,-0.000111653426,-0.00015965282,-9.723823e-05,0.035237297,0.019810978,-0.027353872,7.5322096e-06,0.00024951086,4.743275e-05,0.0048717833,0.00465551,0.0048650457
