,median,median_perc,mean,std,min,max,median_over_std,names,genelist,limma
hsa:05217,0.0006294656,0.17947671906593973,0.004758888815886351,0.007867521545686956,0.0,0.04253349,False,Basal cell carcinoma,,
hsa:05215,1.9535997e-05,0.005570211692651737,0.0006336609669157174,0.0015081687859457285,0.0,0.0120473765,False,Prostate cancer,,
hsa:05220,0.0,0.0,0.0005794242870699694,0.0013090629311833988,0.0,0.008378344,False,Chronic myeloid leukemia,,
hsa:05133,0.0,0.0,0.00013735373301352878,0.0003287718549640263,0.0,0.0026933767,False,Pertussis,,
hsa:04370,1.3302662e-05,0.003792928685226249,8.636613139410726e-05,0.00019762478064580435,0.0,0.0021674845,False,VEGF signaling pathway,,
hsa:03030,1.4872498e-06,0.0004240529022324255,0.0030976097520675322,0.007393671925202329,0.0,0.054383676,False,DNA replication,,
hsa:04140,1.2586228e-06,0.00035886550541536574,0.00017861965620655508,0.0003717672931499326,0.0,0.0023205061,False,Autophagy - animal,,
hsa:00260,0.0001331842,0.037974216934844304,0.005422810263342341,0.01620928296999505,0.0,0.13887697,False,Glycine,,
hsa:00071,2.428466e-05,0.006924176794461626,0.0018514054134048732,0.0046521510038872935,0.0,0.044534102,False,Fatty acid degradation,,
hsa:03266,1.4128162e-05,0.0040282998184366,0.00039965133904384237,0.0009731792269361768,0.0,0.011072326,False,Virion - Herpesvirus,,
hsa:04630,1.5912858e-06,0.00045371622290434803,0.00014454806109916816,0.00028719301362301974,0.0,0.001976741,False,JAK-STAT signaling pathway,,
hsa:00860,0.00021184566,0.060402608188848746,0.0010702448536357946,0.002291946055024689,0.0,0.025646761,False,Porphyrin metabolism,,
hsa:00062,0.0,0.0,0.0003179771283835798,0.0009332527144778025,0.0,0.009113672,False,Fatty acid elongation,,
hsa:04977,0.0,0.0,0.00043940816462014165,0.0017886001460572802,0.0,0.04049217,False,Vitamin digestion and absorption,,
hsa:00130,0.00012511268,0.03567282043680674,0.0017932161752586455,0.0042062363049535974,0.0,0.03064837,False,Ubiquinone and other terpenoid-quinone biosynthesis,,
hsa:00730,3.6570753e-05,0.01042725569468907,0.0010976196804204656,0.00303103539621945,0.0,0.037932854,False,Thiamine metabolism,,
hsa:00830,4.7197136e-05,0.013457108885043043,0.0014385929393564217,0.002980084349246967,0.0,0.029360915,False,Retinol metabolism,,
hsa:04621,1.7742859e-06,0.0005058942252236787,0.0015053102877830684,0.0040938340374215895,0.0,0.029917175,False,NOD-like receptor signaling pathway,,
hsa:00750,1.4879998e-05,0.004242667463873713,0.0005720100012790702,0.0013299230524782258,0.0,0.011855014,False,Vitamin B6 metabolism,,
hsa:05120,0.0,0.0,0.00024388052129855516,0.001064792521940997,0.0,0.011606066,False,Epithelial cell signaling in Helicobacter pylori infection,,
hsa:05418,0.0,0.0,0.00015142370278353894,0.0003052436205940288,0.0,0.0021971387,False,Fluid shear stress and atherosclerosis,,
hsa:05164,0.0,0.0,0.0010305377047235022,0.003155202497008442,0.0,0.014371118,False,Influenza A,,
hsa:03018,0.0,0.0,0.001294960742038972,0.0053313670466181955,0.0,0.043783225,False,RNA degradation,,
hsa:00470,1.2755612e-05,0.003636950758608778,0.0003574146530802788,0.0012846991068948058,0.0,0.020761065,False,D-Amino acid metabolism,,
hsa:04920,0.00010335719,0.02946977460416416,0.0025580814076064736,0.006283475023888606,0.0,0.04880073,False,Adipocytokine signaling pathway,,
hsa:05131,0.0,0.0,4.357423812978765e-05,9.176520711686988e-05,0.0,0.0006387554,False,Shigellosis,,
hsa:04935,0.0,0.0,0.0002156293247550666,0.0007610922598053234,0.0,0.00952546,False,Growth hormone synthesis,,
hsa:05165,3.41639e-06,0.0009741000433537367,0.00013818199501204023,0.000295657221559161,0.0,0.0013516691,False,Human papillomavirus infection,,
hsa:05310,7.889987e-06,0.002249636803397861,0.0009642236560580382,0.0023490393874572037,0.0,0.019582815,False,Asthma,,
hsa:00100,1.9300955e-05,0.005503195215496042,0.0019178641517705697,0.005126617547791547,0.0,0.04327899,False,Steroid biosynthesis,,
hsa:03022,0.0,0.0,0.0002004018634720673,0.0007380816092217572,0.0,0.00691972,False,Basal transcription factors,,
hsa:04390,5.261236e-07,0.00015001127551872708,4.827603326856732e-05,0.00011121742524010634,0.0,0.0008250806,False,Hippo signaling pathway,,
hsa:00400,0.0,0.0,0.00011617112742694134,0.00026778966710429053,0.0,0.0025972018,False,Phenylalanine,,
hsa:04927,0.0,0.0,0.000620383228484833,0.002244252415002919,0.0,0.02208699,False,Cortisol synthesis and secretion,,
hsa:04923,3.928349e-06,0.0011200726296496032,0.00040995760740298665,0.0008221778182111234,0.0,0.0052910764,False,Regulation of lipolysis in adipocytes,,
hsa:05033,0.0,0.0,0.00046587055957429164,0.001742434052484078,0.0,0.009473436,False,Nicotine addiction,,
hsa:04261,7.2343504e-08,2.0626980638264726e-05,5.008323067807685e-06,1.5205546044896503e-05,0.0,0.00012074672,False,Adrenergic signaling in cardiomyocytes,,
hsa:00040,9.206874e-07,0.00026251149202966847,0.00012587790859147128,0.0003511549826467676,0.0,0.0037374175,False,Pentose and glucuronate interconversions,,
hsa:04340,0.0,0.0,9.448099179175559e-05,0.00030728635955702894,0.0,0.0040660333,False,Hedgehog signaling pathway,,
hsa:05212,0.0,0.0,0.0002457260131344791,0.0004380619631549826,0.0,0.002561188,False,Pancreatic cancer,,
hsa:04211,5.903951e-07,0.00016833672165819292,0.0001709615945207402,0.0005686510620913715,0.0,0.0041319635,False,Longevity regulating pathway,,
hsa:04151,2.21616e-06,0.0006318838165662635,0.00020657461908525754,0.0005572816689257697,0.0,0.0042404234,False,PI3K-Akt signaling pathway,,
hsa:04392,0.0,0.0,0.00017480994586158198,0.0004115707134673705,0.0,0.004090121,False,Hippo signaling pathway - multiple species,,
hsa:03430,1.8312803e-05,0.005221447842965363,0.0007247132880887356,0.001383919556986191,0.0,0.011971392,False,Mismatch repair,,
