,median,median_perc,mean,std,min,max,median_over_std,names,genelist,limma
ILMN_2368834,3.6676640499999998e-09,3.6777608446175573e-06,8.161181362528756e-07,2.4990753223796274e-06,0.0,1.4014767e-05,False,MYH11; myosin heavy chain,,
ILMN_1789887,4.8306860999999996e-09,4.8439846041019745e-06,7.68447209919634e-08,1.4765567931353095e-07,0.0,8.1886714e-07,False,PSPN;,,
ILMN_2386849,2.38422035e-08,2.3907839236721716e-05,2.7020852886717938e-05,0.00011720808617116397,0.0,0.0013078044,False,DSE; dermatan sulfate,,
ILMN_2341132,4.61771865e-07,0.00046304308712326705,9.582280449044688e-07,1.2758054075402983e-06,0.0,7.729252e-06,False,TNNT2; troponin T2,,
ILMN_1800468,0.0,0.0,4.0493267794304025e-07,1.3946429023996047e-06,0.0,1.2279061e-05,False,KLKB1; kallikrein,,
ILMN_1692684,0.0,0.0,7.922813504318682e-07,1.7341844470025852e-06,0.0,1.2746776e-05,False,SMARCD2; SWI/SNF related,,
ILMN_1734855,8.7750623e-07,0.0008799219365803061,4.5647614282443934e-05,9.362654857417876e-05,0.0,0.00068381557,False,SELPLG; selectin P,,0.000133522456617521
ILMN_1767086,2.5783181e-08,2.5854160097211564e-05,5.785878910486705e-07,1.2794830833621902e-06,0.0,9.419712e-06,False,SPDYE3; speedy/RINGO cell cycle regulator family member,,
ILMN_1745927,0.0,0.0,1.6620304147527476e-05,4.337456797599682e-05,0.0,0.00039309132,False,TGFBR1; transforming growth factor beta receptor,,
ILMN_1707710,0.0,0.0,3.4303599389076917e-08,1.5564368005785996e-07,0.0,2.7889791e-06,False,SLC6A13; solute carrier family 6 member,,
ILMN_1672496,0.0,0.0,4.4584286594468853e-07,9.234662698295827e-07,0.0,8.987231e-06,False,DNAJA1; DnaJ heat shock protein family (Hsp40) member,,
ILMN_1708747,2.34798735e-09,2.354451177033878e-06,3.205061659570438e-08,6.008647933768358e-08,0.0,4.0865274e-07,False,OR6C4; olfactory receptor family 6 subfamily C member,,
ILMN_1659202,1.04208005e-06,0.0010449488155402635,7.263447104315937e-06,1.618271426684457e-05,0.0,0.00013427492,False,B3GALT1; beta-1,,
ILMN_1678805,3.3760397000000003e-08,3.385333675404214e-05,2.92751217178242e-06,9.57058284147556e-06,0.0,0.00011923941,False,POMT2; protein O-mannosyltransferase,,0.0234860553344656
ILMN_1801928,0.0,0.0,3.183036641523809e-06,8.141293783292746e-06,0.0,6.6789195e-05,False,YWHAZ; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,,
ILMN_1813314,0.0,0.0,0.0009492151896713072,0.0030389276507102898,0.0,0.0179337,False,H2BC12; H2B clustered histone,,1.72351922976408e-07
ILMN_1793659,8.542342e-07,0.0008565858404869996,2.7598412512208775e-06,6.481601215543103e-06,0.0,8.866899e-05,False,TUBA8; tubulin alpha,,
ILMN_1715452,0.0,0.0,3.417266066179488e-07,1.5589927936104516e-06,0.0,1.8585784e-05,False,FREM1; FRAS1 related extracellular matrix,,
ILMN_1783963,0.0,0.0,8.459876458348349e-05,0.00021553634667668308,0.0,0.0014198022,False,AGXT2; alanine--glyoxylate aminotransferase,,
ILMN_2050109,0.0,0.0,1.7315822599705125e-05,5.4728353185006525e-05,0.0,0.0007590299,False,GABARAP; GABA type A receptor-associated,,
ILMN_2087931,2.5140626500000003e-09,2.5209836694518015e-06,2.4365448801949437e-07,5.961404611169402e-07,0.0,3.855084e-06,False,CNGA4; cyclic nucleotide gated channel subunit alpha,,
ILMN_1801341,6.5211565e-09,6.539108737978135e-06,2.1914869247003677e-08,3.246109373535835e-08,0.0,2.5852535e-07,False,DNAH12; dynein axonemal heavy chain,,
ILMN_1768273,2.1293125e-06,0.0021351743321351155,1.784911743620369e-05,2.4783334736212005e-05,0.0,0.00011944191,False,POP1; POP1 homolog,,
ILMN_1732049,0.0,0.0,6.448058741882969e-06,2.359734589176264e-05,0.0,0.00021329804,False,DPM2; dolichyl-phosphate mannosyltransferase subunit 2,,
ILMN_1718132,0.0,0.0,4.954065531347436e-05,0.0002055720556793565,0.0,0.0022297264,False,ECHS1; enoyl-CoA hydratase,,
ILMN_1768483,5.05269285e-07,0.0005066602521462971,4.179134780193153e-06,6.982789766808328e-06,0.0,4.681649e-05,False,KCNK3; potassium two pore domain channel subfamily K member,,
ILMN_1807291,2.1251396499999998e-05,0.021309899946027663,0.00011336574513280215,0.0002455938576851358,0.0,0.002522341,False,CYP1A1; cytochrome P450 family 1 subfamily A member,,
ILMN_1661197,2.5713346000000003e-09,2.5784132846873885e-06,6.644491812833886e-08,1.3550022169014738e-07,0.0,9.45947e-07,False,CLCF1; cardiotrophin like cytokine factor,,
ILMN_1751081,0.0,0.0,3.818906178550181e-06,7.890858479292508e-06,0.0,4.672328e-05,False,EHMT2; euchromatic histone lysine methyltransferase,,
ILMN_1671058,1.5323895e-07,0.00015366080494212865,1.6145103144124562e-06,3.144004187647283e-06,0.0,1.7623832e-05,False,CDX2; caudal type homeobox,,
ILMN_1714577,6.5814277e-07,0.000659954585991631,3.329904043626374e-05,8.338572956933671e-05,0.0,0.00065611984,False,OGDHL; oxoglutarate dehydrogenase,,
ILMN_2404033,0.0,0.0,5.930632792393042e-08,1.8007435249529535e-07,0.0,1.1781572e-06,False,ZNF205; zinc finger protein,,
ILMN_1699384,0.0,0.0,1.9807315288106226e-05,6.0458095622886314e-05,0.0,0.00036216568,False,PPP2R5D; protein phosphatase 2 regulatory subunit,,0.00597332492321615
ILMN_2261627,0.0,0.0,6.863183905500735e-06,2.0432691068539413e-05,0.0,0.00015274156,False,CTLA4; cytotoxic T-lymphocyte associated protein,,
ILMN_1700695,0.0,0.0,1.1238091770098165e-05,3.677694073097306e-05,0.0,0.00024325347,False,SLC44A1; solute carrier family 44 member,,
ILMN_2130409,9.192951350000001e-10,9.218258831940759e-07,2.911576158718844e-06,8.367771833169243e-06,0.0,8.3901396e-05,False,PEX26; peroxisomal biogenesis factor,,
ILMN_1719205,1.1692678e-07,0.00011724867035496648,8.665612169094831e-05,0.00015876443095536413,0.0,0.0006551621,False,FBL;,,
ILMN_2143685,1.3810813500000002e-07,0.000138488335982178,8.304608582073261e-07,1.594651390945719e-06,0.0,1.6275584e-05,False,CLDN7; claudin,,
ILMN_1674009,0.0,0.0,3.55436846409716e-06,1.2194885923125217e-05,0.0,0.00014588014,False,TKTL1; transketolase like,,
ILMN_2181064,0.0,0.0,6.220912667130038e-07,2.239967836123559e-06,0.0,2.1042757e-05,False,GBA3; glucosylceramidase beta 3,,0.0498116698970958
ILMN_1741577,1.2312378500000001e-09,1.2346273522901055e-06,8.463835021675636e-08,2.2902966423358406e-07,0.0,1.4192249e-06,False,CNR2; cannabinoid receptor,,
ILMN_1732198,4.1821593e-09,4.193672460129813e-06,2.3565287842901116e-07,7.2100658966601e-07,0.0,3.783986e-06,False,UTS2; urotensin,,
ILMN_1654411,8.034491e-10,8.056609330462576e-07,1.4682814837407145e-06,3.9050316026491965e-06,0.0,3.5602803e-05,False,CCL18; C-C motif chemokine ligand,,
ILMN_1796245,2.69598025e-07,0.0002703402074492688,8.845649990551282e-06,2.586122435854523e-05,0.0,0.00020675293,False,DNASE2; deoxyribonuclease 2,,
ILMN_1656066,0.0,0.0,3.352729836951959e-05,9.808191956848528e-05,0.0,0.0005465247,False,TNPO2; transportin,,0.00130840371911612
ILMN_1759460,1.0221334e-08,1.0249472539601373e-05,6.454641293894503e-07,1.5837589066561287e-06,0.0,1.6427266e-05,False,TAF7; TATA-box binding protein associated factor,,
ILMN_2160476,0.0,0.0,1.0874607729498172e-06,2.5187885643387043e-06,0.0,1.6305004e-05,False,CCL22; C-C motif chemokine ligand,,
ILMN_1737015,1.5413658e-07,0.0001545609060478867,0.003805299718237492,0.005024493358157779,0.0,0.01570103,False,RPL39; ribosomal protein,,0.0422022813947841
ILMN_1767643,0.0,0.0,6.750067087921061e-07,3.139763024976537e-06,0.0,3.4684155e-05,False,CTRB2; chymotrypsinogen,,
ILMN_1658636,1.6027483999999998e-05,0.016071606420150278,0.00016591969218213745,0.0003959762088677244,0.0,0.0024202205,False,MRE11; MRE11 homolog,,
ILMN_1663119,0.0,0.0,2.7674150546853768e-05,0.00012122989928203796,0.0,0.0011904702,False,DSC2; desmocollin,,0.000256881544824246
ILMN_1733466,0.0,0.0,1.4753501004390112e-07,6.286645562559944e-07,0.0,1.1942756e-05,False,SPDYE4; speedy/RINGO cell cycle regulator family member,,
ILMN_1672504,0.0,0.0,8.392634334222711e-05,0.0002909191539471279,0.0,0.00222497,False,PDXK; pyridoxal,,0.00906914162184378
ILMN_1781986,0.0,0.0,5.889616133347161e-07,1.9856625079046205e-06,0.0,1.5362075e-05,False,UQCR10; ubiquinol-cytochrome c reductase,,
ILMN_2110110,0.0,0.0,3.3590567831831495e-06,6.873926981043085e-06,0.0,5.0825394e-05,False,FGF10; fibroblast growth factor,,
ILMN_2383727,0.0,0.0,4.129137248364835e-06,1.269364094375936e-05,0.0,0.00014038707,False,ATG4C; autophagy related 4C cysteine,,
ILMN_1690314,4.4102348e-06,0.0044223758342887875,0.00011619464076018313,0.0003128756157195805,0.0,0.002412474,False,PRKACB; protein kinase cAMP-activated catalytic subunit,,
ILMN_1693853,0.0,0.0,3.778973163030789e-07,1.355008468371028e-06,0.0,1.2017394e-05,False,HHAT; hedgehog,,
