,median,median_perc,mean,std,min,max,median_over_std,names,genelist,limma
hsa:09105,0.0023555993,2.7175956527601177,0.016706105292142424,0.03366143376423008,0.0,0.22271997,False,Amino acid metabolism,,
hsa:09112,0.0,0.0,0.001412180146075622,0.006889302177294009,0.0,0.08934873,False,Not included in regular maps,,
hsa:09102,0.016486023,19.019509997351125,0.048640539084392774,0.07893956810072113,0.0,0.42718726,False,Energy metabolism,,
hsa:09149,0.0,0.0,0.00010476932180541767,0.0003122770883070339,0.0,0.0034444504,False,Aging,,
hsa:09111,0.000793523,0.915467522496363,0.015308338940975155,0.0449543285684236,0.0,0.29796618,False,Xenobiotics biodegradation and metabolism,,
hsa:09121,0.00014740264,0.17005471756990448,0.0029198163429765217,0.00637837631589571,0.0,0.03215916,False,Transcription,,
hsa:09172,0.00012551885,0.14480793957590718,0.11635294433126163,0.23623458414246498,0.0,0.7106306,False,Infectious disease: viral,,
hsa:09103,0.0010439786,1.2044118475220271,0.02624197520388263,0.04590452956926974,0.0,0.24296051,False,Lipid metabolism,,
hsa:09104,0.0,0.0,0.00016053052028668175,0.00039890522327732324,0.0,0.002883391,False,Nucleotide metabolism,,
hsa:09163,0.0026006843,3.000344051673597,0.02042449508891421,0.047772708006332196,0.0,0.32766542,False,Immune disease,,
hsa:09155,0.0,0.0,0.0011323385086592327,0.0022988441840560603,0.0,0.010252982,False,Excretory system,,
hsa:09165,0.0010394378,1.1991732407946212,0.008131640782774487,0.013950748992143812,0.0,0.059953205,False,Substance dependence,,
hsa:09164,0.00013202375,0.15231247906258447,0.0008924755672692997,0.0016205056184751784,0.0,0.0065647727,False,Neurodegenerative disease,,
hsa:09154,0.0,0.0,0.003700837049503385,0.012779457389508538,0.0,0.17062542,False,Digestive system,,
hsa:09131,0.00012864574,0.14841535390595015,0.0038679908170623006,0.006602899464433354,0.0,0.036661036,False,Membrane transport,,
hsa:09156,0.00020886103,0.24095771600840624,0.0010860196635399547,0.001973188817197913,0.0,0.0093553895,False,Nervous system,,
hsa:09126,0.0,0.0,0.0017823516473259597,0.006675668891970729,0.0,0.042072985,False,Chromosome,,
hsa:09110,0.00027495492,0.31720857418195275,0.003196826755112189,0.008389466469134452,0.0,0.05705757,False,Biosynthesis of other secondary metabolites,,
hsa:09109,0.0,0.0,0.0010309540360911968,0.0029746908046123788,0.0,0.03819281,False,Metabolism of terpenoids and polyketides,,
hsa:09166,0.000744682,0.8591208894860471,0.003233097455103839,0.005596543111883635,0.0,0.030570447,False,Cardiovascular disease,,
hsa:09167,0.009898541,11.41969773478358,0.017833780329589172,0.02363395061097208,0.0,0.14402187,False,Endocrine and metabolic disease,,
hsa:09125,0.00079063413,0.9121347058524674,0.005378327824747127,0.008715831429517953,0.0,0.048422135,False,Information processing in viruses,,
hsa:09171,0.00026999973,0.3114918961363274,0.004939738256307064,0.0095996923449987,0.0,0.043012656,False,Infectious disease: bacterial,,
hsa:09162,0.008104191,9.349601280123352,0.02284142575181263,0.03081870008475376,0.0,0.17355189,False,Cancer: specific types,,
hsa:09143,0.0016255304,1.8753335291233169,0.009627706840722778,0.011838234094298742,0.0,0.045940366,False,Cell growth and death,,
hsa:09176,0.00073181366,0.8442750093559931,0.006883011680335437,0.012949520910266292,0.0,0.051639337,False,Drug resistance: antineoplastic,,
hsa:09101,0.0,0.0,0.003524603057925511,0.010309279941295985,0.0,0.08622824,False,Carbohydrate metabolism,,
hsa:09144,2.7374542e-06,0.0031581320445926123,0.0006372733857366006,0.002318726511141091,0.0,0.024177363,False,Cellular community - eukaryotes,,
hsa:09153,0.0,0.0,0.00019731311926911955,0.00048147868565460576,0.0,0.007207064,False,Circulatory system,,
hsa:09132,0.0,0.0,0.003730067356406321,0.008726910318970205,0.0,0.051776808,False,Signal transduction,,
hsa:09133,0.0002157683,0.248926459641689,0.0022455419306976285,0.0038580556506489752,0.0,0.019482885,False,Signaling molecules and interaction,,
hsa:09108,0.005637802,6.504190337602111,0.011728083403498872,0.017276793539652287,0.0,0.10610467,False,Metabolism of cofactors and vitamins,,
hsa:09161,0.023147915,26.705167204991408,0.02850594298389843,0.03454778676745772,0.0,0.16783068,False,Cancer: overview,,
hsa:09106,0.0005259597,0.6067864743579333,0.007721121724590743,0.017053192871263185,0.0,0.11157215,False,Metabolism of other amino acids,,
hsa:09107,1.1835697e-05,0.01365454587908307,0.004041763641509029,0.013271721399602723,0.0,0.1021286,False,Glycan biosynthesis and metabolism,,
hsa:09124,0.0011945815,1.3781586245452104,0.016845820010751696,0.024974520212500146,0.0,0.14901754,False,Replication and repair,,
hsa:09141,0.00024693253,0.28487984779629427,0.0062266710586192315,0.009983094588875668,0.0,0.044928268,False,Transport and catabolism,,
hsa:09152,0.0,0.0,0.011026676423185102,0.021462954594664643,0.0,0.1581936,False,Endocrine system,,
hsa:09151,0.0010845512,1.2512194354599142,0.009252428045160278,0.01573636205481882,0.0,0.06860238,False,Immune system,,
hsa:09142,7.213194e-05,0.08321680455973715,0.0005407334233036115,0.0008142602655817344,0.0,0.0034067084,False,Cell motility,,
hsa:09174,9.7699114e-05,0.11271301001189599,0.0016459506787539495,0.003934134536006749,0.0,0.025900142,False,Infectious disease: parasitic,,
hsa:09123,0.0,0.0,0.006036687522517606,0.012803468948282435,0.0,0.07183747,False,Folding,,
hsa:09159,1.7228671e-05,0.019876284312206373,0.001813472862382191,0.0044257213851686935,0.0,0.050436053,False,Environmental adaptation,,
hsa:09158,0.0,0.0,0.00017672630417810375,0.00027093740969845714,0.0,0.0015478646,False,Development and regeneration,,
hsa:09122,0.006805559,7.851402211319428,0.3004897420144714,0.31190761843167236,0.0,0.8094003,False,Translation,,
hsa:09157,0.000116788964,0.13473648971485003,0.0016226458654657776,0.004574918675922904,0.0,0.039885264,False,Sensory system,,
