,median,median_perc,mean,std,min,max,over_threshold,names
hsa:347411,0.0,0.0,1.2973264451612903e-08,3.52529056327432e-08,0.0,1.7418515e-07,False,MPC1L; mitochondrial pyruvate carrier 1
hsa:8907,5.22433e-07,0.00036931153475213633,2.7152001620967746e-06,4.8930367645839525e-06,0.0,2.011896e-05,False,AP1M1; adaptor related protein complex 1 subunit mu
hsa:5810,9.576417e-09,6.769636029302224e-06,1.0827698082419355e-06,1.8063784237369834e-06,0.0,6.0726475e-06,False,RAD1; RAD1 checkpoint DNA
hsa:7358,0.00020408636,0.14427007259031685,0.0003471557288709677,0.00040692412290439675,0.0,0.0014379363,False,UGDH; UDP-glucose
hsa:406910,-0.0,0.0,0.0,0.0,0.0,0.0,False,MIR125A; microRNA
hsa:55304,6.0082937e-07,0.00042473047598229655,1.838653185779032e-05,3.401207615927899e-05,0.0,0.000115432085,False,SPTLC3; serine palmitoyltransferase long chain base subunit
hsa:5528,2.2064078e-06,0.0015597250765305496,2.985502830632258e-05,6.342671787216091e-05,0.0,0.00033047862,False,PPP2R5D; protein phosphatase 2 regulatory subunit
hsa:2767,0.0,0.0,0.00018032619612903223,0.0002709338367669903,0.0,0.0010280483,False,GNA11; G protein subunit alpha
hsa:727,0.0,0.0,9.155006422580646e-06,2.0913775431630088e-05,0.0,0.0001067202,False,C5; complement
hsa:10999,0.0,0.0,0.00010914360212903227,0.00026672644842741375,0.0,0.0012366114,False,SLC27A4; solute carrier family 27 member
hsa:7469,0.0,0.0,2.1955376523225812e-05,4.278983022698462e-05,0.0,0.00017405832,False,NELFA; negative elongation factor complex member
hsa:5279,4.7388576e-06,0.0033499315189274514,6.741349435412903e-05,0.0001359267871693479,0.0,0.000550162,False,PIGC; phosphatidylinositol glycan anchor biosynthesis class
hsa:100133941,0.0,0.0,2.677281651612903e-06,8.878740803579565e-06,0.0,3.81666e-05,False,CD24; CD24
hsa:302,2.0766183e-07,0.00014679759729331268,2.211972817096774e-06,5.7905963343889505e-06,0.0,2.6160676e-05,False,ANXA2; annexin
hsa:5948,0.0,0.0,2.7316685483870966e-07,9.361957255948452e-07,0.0,4.2455476e-06,False,RBP2; retinol binding protein
hsa:2691,0.0,0.0,3.104928064516129e-08,1.728750782676369e-07,0.0,9.625277e-07,False,GHRH; growth hormone releasing
hsa:390154,-0.0,0.0,0.0,0.0,-0.0,-0.0,False,OR5T3; olfactory receptor family 5 subfamily T member
hsa:25942,0.0,0.0,1.1818406690322582e-05,3.7789534645988425e-05,0.0,0.00020327758,False,SIN3A; SIN3 transcription regulator family member
hsa:6550,2.7982198e-05,0.019780811107104945,0.00017804630176451614,0.00037248569134036585,0.0,0.0017881197,False,SLC9A3; solute carrier family 9 member
hsa:391112,0.0,0.0,0.0,0.0,0.0,0.0,False,OR6Y1; olfactory receptor family 6 subfamily Y member
hsa:6249,0.0,0.0,1.2610233987096775e-07,2.454391603636113e-07,0.0,9.347443e-07,False,CLIP1; CAP-Gly domain containing linker protein
hsa:390748,0.0,0.0,1.099893486832258e-07,3.822828077438476e-07,0.0,1.6003103e-06,False,PABPN1L; PABPN1 like
hsa:221955,0.0,0.0,7.745768314838708e-07,1.8097830398015852e-06,0.0,6.0842954e-06,False,DAGLB; diacylglycerol lipase
hsa:51209,0.0,0.0,1.956196986451613e-06,4.344449912231666e-06,0.0,1.6598939e-05,False,RAB9B; RAB9B
hsa:134864,0.0,0.0,0.0,0.0,-0.0,-0.0,False,TAAR1; trace amine associated receptor
hsa:2660,5.5309215e-08,3.9098470191557344e-05,4.640017872580645e-07,8.37021365317528e-07,0.0,3.2325563e-06,False,MSTN;
hsa:23057,0.0,0.0,4.240120129032258e-06,1.8437189455244963e-05,0.0,9.825269e-05,False,NMNAT2; nicotinamide nucleotide adenylyltransferase
hsa:4726,2.4572214e-06,0.0017370269612750212,5.23646887451613e-06,6.0226016349621e-06,0.0,1.8500812e-05,False,NDUFS6; NADH:ubiquinone oxidoreductase subunit
hsa:808,2.7836668e-05,0.01967793493417468,0.0019499755005806454,0.003990939425324811,0.0,0.017670633,False,CALM3; calmodulin
hsa:1138,0.0,0.0,1.0843941446451612e-06,2.532622078454302e-06,0.0,1.2676628e-05,False,CHRNA5; cholinergic receptor nicotinic alpha 5
hsa:64750,7.793232e-05,0.055090901045674,0.00020029199600000002,0.0002653185556211906,0.0,0.0009057241,False,SMURF2; SMAD specific E3 ubiquitin protein ligase
hsa:219437,0.0,0.0,0.0,0.0,-0.0,-0.0,False,OR5L1; olfactory receptor family 5 subfamily L member
hsa:29990,0.0,0.0,0.00033277169264516127,0.0010006148759256017,0.0,0.0045489585,False,PILRB; paired immunoglobin like type 2 receptor
hsa:6091,0.0,0.0,1.7564205856774192e-07,3.711800018336671e-07,0.0,1.3129984e-06,False,ROBO1; roundabout guidance receptor
