,median,median_perc,mean,std,min,max,over_threshold,names
hsa:347411,0.0,0.0,4.148270717821782e-09,1.977485119157311e-08,0.0,1.7418515e-07,False,MPC1L; mitochondrial pyruvate carrier 1
hsa:8907,5.77965385e-09,7.160859261523507e-06,1.2943179223726738e-06,2.7733212914038005e-06,0.0,2.011896e-05,False,AP1M1; adaptor related protein complex 1 subunit mu
hsa:5810,3.06726855e-09,3.800275755934289e-06,5.115045317997523e-06,1.7131414382236602e-05,0.0,0.00013230485,False,RAD1; RAD1 checkpoint DNA
hsa:7358,1.43381185e-05,0.017764601707686442,0.00015398189726475894,0.00027792913372415247,0.0,0.0016421132,False,UGDH; UDP-glucose
hsa:406910,0.0,0.0,0.0,0.0,0.0,0.0,False,MIR125A; microRNA
hsa:55304,0.0,0.0,5.25416735995792e-06,1.7018575606644175e-05,0.0,0.000115432085,False,SPTLC3; serine palmitoyltransferase long chain base subunit
hsa:5528,0.0,0.0,1.891472467381683e-05,4.3767291034464184e-05,0.0,0.00033047862,False,PPP2R5D; protein phosphatase 2 regulatory subunit
hsa:2767,0.0,0.0,0.0004249052330603959,0.0006983662568679193,0.0,0.004764327,False,GNA11; G protein subunit alpha
hsa:727,6.0211185e-06,0.007460028454031986,3.4712828379504954e-05,5.4414529370895804e-05,0.0,0.00023713504,False,C5; complement
hsa:10999,1.78691715e-05,0.022139495816263614,0.0002316849705722773,0.00040552242388683477,0.0,0.0029261848,False,SLC27A4; solute carrier family 27 member
hsa:7469,0.0,0.0,4.302761206347969e-05,0.0001334068708103729,0.0,0.0009959246,False,NELFA; negative elongation factor complex member
hsa:5279,1.6693421399999999e-07,0.00020682768266252604,2.8906966958554454e-05,6.504143988595895e-05,0.0,0.000550162,False,PIGC; phosphatidylinositol glycan anchor biosynthesis class
hsa:100133941,0.00022640644,0.28051241386066156,0.0006418713343737622,0.001153435056165306,0.0,0.0072389017,False,CD24; CD24
hsa:302,0.0,0.0,4.5789634548861383e-07,2.369703379265298e-06,0.0,2.6160676e-05,False,ANXA2; annexin
hsa:5948,0.0,0.0,1.3859736422277235e-05,3.802231537126449e-05,0.0,0.00029733934,False,RBP2; retinol binding protein
hsa:2691,0.0,0.0,3.927529553534654e-06,2.9615009740367103e-05,0.0,0.00040647606,False,GHRH; growth hormone releasing
hsa:390154,0.0,0.0,1.1194566336633663e-09,1.5910468165327168e-08,-0.0,2.2613024e-07,False,OR5T3; olfactory receptor family 5 subfamily T member
hsa:25942,1.6755559e-06,0.002075975533502816,7.751456852722771e-05,0.00023891606814572516,0.0,0.0016306458,False,SIN3A; SIN3 transcription regulator family member
hsa:6550,0.0,0.0,3.3851397786138615e-05,0.00015988413156511457,0.0,0.0017881197,False,SLC9A3; solute carrier family 9 member
