,median,median_perc,mean,std,min,max,median_over_std,names,genelist,limma
ILMN_2368834,2.9092877e-08,2.981759936421571e-05,5.179378094810384e-07,1.4270979272378842e-06,0.0,9.9215495e-06,False,MYH11; myosin heavy chain,,
ILMN_1789887,1.11655485e-08,1.1443689527670972e-05,1.580310619386908e-07,3.5244450624583796e-07,0.0,3.4342456e-06,False,PSPN;,,
ILMN_2386849,0.0,0.0,4.702815794890631e-05,0.0002562587683430141,0.0,0.0039705904,False,DSE; dermatan sulfate,,
ILMN_2341132,0.0,0.0,2.043953610895485e-07,5.97851705134537e-07,0.0,4.8297925e-06,False,TNNT2; troponin T2,,
ILMN_1800468,0.0,0.0,1.0196002946963887e-07,5.856918475835688e-07,0.0,1.0703925e-05,False,KLKB1; kallikrein,,
ILMN_1692684,1.6597697e-07,0.00017011156356748253,1.4906446210496621e-06,2.3506761769925237e-06,0.0,1.2384911e-05,False,SMARCD2; SWI/SNF related,,
ILMN_1734855,0.0,0.0,4.289688572893904e-07,2.863912598832469e-06,0.0,3.99699e-05,False,SELPLG; selectin P,,0.000133522456617521
ILMN_1767086,0.0,0.0,2.1682664466065456e-06,5.3552026908581335e-06,0.0,3.477069e-05,False,SPDYE3; speedy/RINGO cell cycle regulator family member,,
ILMN_1745927,3.3095403e-06,0.0033919830873078063,2.94905732462754e-05,6.133058210152307e-05,0.0,0.00041732777,False,TGFBR1; transforming growth factor beta receptor,,
ILMN_1707710,2.6512714e-09,2.7173162836732613e-06,1.4118710185830696e-06,3.571454811394669e-06,0.0,3.2253705e-05,False,SLC6A13; solute carrier family 6 member,,
ILMN_1672496,1.581646e-07,0.00016210458238287784,1.5585684877584874e-06,2.9943299277738308e-06,0.0,1.6205944e-05,False,DNAJA1; DnaJ heat shock protein family (Hsp40) member,,
ILMN_1708747,0.0,0.0,4.938204143638599e-09,1.7912547761053962e-08,0.0,1.6183652e-07,False,OR6C4; olfactory receptor family 6 subfamily C member,,
ILMN_1659202,0.0,0.0,9.383245866291647e-06,2.4272080275156213e-05,0.0,0.00016115606,False,B3GALT1; beta-1,,
ILMN_1678805,0.0,0.0,3.769302898486794e-05,0.00010934740059672105,0.0,0.00080455514,False,POMT2; protein O-mannosyltransferase,,0.0234860553344656
ILMN_1801928,1.3888329e-06,0.0014234296249230306,6.019293944078331e-06,9.230049114514228e-06,0.0,6.666627e-05,False,YWHAZ; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,,
ILMN_1813314,0.0,0.0,1.0772247991699775e-05,3.5294059331493506e-05,0.0,0.00030764774,False,H2BC12; H2B clustered histone,,1.72351922976408e-07
ILMN_1793659,0.0,0.0,7.295280225381491e-07,3.9017381510473105e-06,0.0,4.2178483e-05,False,TUBA8; tubulin alpha,,
ILMN_1715452,4.4755527e-08,4.58704160960203e-05,1.1450306847701254e-05,3.2666944388002616e-05,0.0,0.00021839414,False,FREM1; FRAS1 related extracellular matrix,,
ILMN_1783963,7.453744e-06,0.007639421579221149,0.0005054909022649192,0.001021083689347536,0.0,0.00758986,False,AGXT2; alanine--glyoxylate aminotransferase,,
ILMN_2050109,3.6347691e-07,0.0003725313546859972,2.4775359446819188e-05,5.467519342706963e-05,0.0,0.00048932416,False,GABARAP; GABA type A receptor-associated,,
ILMN_2087931,0.0,0.0,4.280515832790407e-07,1.2418038776353631e-06,0.0,6.456949e-06,False,CNGA4; cyclic nucleotide gated channel subunit alpha,,
ILMN_1801341,0.0,0.0,8.619282336774268e-09,2.0358500641737075e-08,0.0,1.5155078e-07,False,DNAH12; dynein axonemal heavy chain,,
ILMN_1768273,0.0,0.0,5.715636416843565e-06,1.49636570451587e-05,0.0,7.052991e-05,False,POP1; POP1 homolog,,
ILMN_1732049,0.0,0.0,1.1798805977828434e-05,3.675248958188237e-05,0.0,0.00035740266,False,DPM2; dolichyl-phosphate mannosyltransferase subunit 2,,
ILMN_1718132,4.882684e-06,0.005004314813349887,0.00017566437770162295,0.0005036140815242769,0.0,0.004008548,False,ECHS1; enoyl-CoA hydratase,,
ILMN_1768483,0.0,0.0,4.2711489019751704e-07,1.659333605484393e-06,0.0,1.7513767e-05,False,KCNK3; potassium two pore domain channel subfamily K member,,
ILMN_1807291,0.0,0.0,1.0427545722573361e-05,3.1403538798380705e-05,0.0,0.00022672158,False,CYP1A1; cytochrome P450 family 1 subfamily A member,,
ILMN_1661197,9.311397e-10,9.543349915759795e-07,3.0346114686566637e-07,7.252858797847496e-07,0.0,8.74913e-06,False,CLCF1; cardiotrophin like cytokine factor,,
ILMN_1751081,0.0,0.0,6.0268655508939e-06,1.4470837378817125e-05,0.0,9.3279894e-05,False,EHMT2; euchromatic histone lysine methyltransferase,,
ILMN_1671058,0.0,0.0,2.0706473583521453e-07,7.564910681262015e-07,0.0,7.995413e-06,False,CDX2; caudal type homeobox,,
ILMN_1714577,1.6713478e-06,0.0017129821536269283,4.214199229270878e-05,0.00010220778541103561,0.0,0.0009622732,False,OGDHL; oxoglutarate dehydrogenase,,
ILMN_2404033,0.0,0.0,8.105723536566598e-08,2.4288762652872134e-07,0.0,1.1568636e-06,False,ZNF205; zinc finger protein,,
ILMN_1699384,1.8764738e-06,0.0019232179748275647,4.5216435408358066e-05,8.457991960777484e-05,0.0,0.0004837339,False,PPP2R5D; protein phosphatase 2 regulatory subunit,,0.00597332492321615
ILMN_2261627,1.7790537e-05,0.018233710771892928,4.091187631954341e-05,5.4037447083106936e-05,0.0,0.00031433816,False,CTLA4; cytotoxic T-lymphocyte associated protein,,
ILMN_1700695,0.0,0.0,1.3686105306888485e-05,4.5129599164935156e-05,0.0,0.00032429327,False,SLC44A1; solute carrier family 44 member,,
ILMN_2130409,5.656378e-11,5.7972820308065004e-08,5.135391485177717e-07,3.4226108394714692e-06,0.0,5.93803e-05,False,PEX26; peroxisomal biogenesis factor,,
ILMN_1719205,1.1312592e-07,0.00011594395976267034,8.320614717390519e-05,0.00018259559720522307,0.0,0.0010795442,False,FBL;,,
ILMN_2143685,0.0,0.0,4.0514977059616266e-07,1.275313650330837e-06,0.0,1.3126807e-05,False,CLDN7; claudin,,
ILMN_1674009,0.0,0.0,4.181277105823699e-06,1.171860866808139e-05,0.0,0.0001353609,False,TKTL1; transketolase like,,
ILMN_2181064,2.987696e-08,3.0621214378375095e-05,1.1922182860437074e-05,3.3406561738524455e-05,0.0,0.00032470963,False,GBA3; glucosylceramidase beta 3,,0.0498116698970958
ILMN_1741577,4.2940654e-10,4.401033343692365e-07,3.913196036986232e-08,9.768771893028804e-08,0.0,7.460048e-07,False,CNR2; cannabinoid receptor,,
ILMN_1732198,3.7295846e-09,3.822490962229301e-06,2.7300912313963885e-08,4.690816672790125e-08,0.0,2.2825134e-07,False,UTS2; urotensin,,
ILMN_1654411,8.412267e-09,8.621822006493645e-06,4.225992842898306e-06,1.531351805799039e-05,0.0,0.00011855694,False,CCL18; C-C motif chemokine ligand,,
ILMN_1796245,0.0,0.0,3.6805769222099328e-06,6.41675175803228e-06,0.0,4.4476386e-05,False,DNASE2; deoxyribonuclease 2,,
