,median,median_perc,mean,std,min,max,median_over_std,names,genelist,limma
ILMN_1783142,0.016481003,77.204839983735,0.0283538800145137,0.0298890995028406,0,0.1141494,True,RPS4Y1; ribosomal protein S4 Y-linked,,0
ILMN_2191331,0.0020192943,9.45933286412048,0.00393066812051009,0.00510473754714656,0,0.027047127,True,RPS4Y2; ribosomal protein S4 Y-linked,,1.35953244854135E-220
ILMN_1707308,0.0001369122,0.64136172372647,0.0005734242429731,0.000918242346546608,0,0.0062437393,False,IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit,,
ILMN_1714965,0.00012348185,0.57844759024348,0.00154374204090862,0.00344164363200681,0,0.019236686,False,NFKB1; nuclear factor kappa B subunit,,
ILMN_1670302,0.00006266499,0.293552554145664,0.000679770599907381,0.00120781378501139,0,0.0097127985,False,HK3; hexokinase,,0.00554863480890037
ILMN_1713124,0.000055293884,0.259022795293418,0.000961750603424678,0.00230090851661541,0,0.021249263,False,AKR1C3; aldo-keto reductase family 1 member,,1.49551884242904E-21
ILMN_2396444,0.00005278075,0.247250082896746,0.00184091262525804,0.00347600386123601,0,0.027292332,False,CD14; CD14,,8.95371717756872E-07
ILMN_1766275,0.000051580504,0.24162756099252,0.00122889271230209,0.00249190431869904,0,0.024728622,False,PIK3CD; phosphatidylinositol-4,,
ILMN_1731292,0.000047600246,0.222982143478551,0.000825403983405885,0.00186619558299042,0,0.021301247,False,CA5A; carbonic anhydrase,,
ILMN_2176063,0.000039492214,0.185000273495091,0.000705238548604348,0.00150563436808819,0,0.011861777,False,FCGR1A; Fc gamma receptor,,6.70866662027917E-05
ILMN_1709795,0.000038960574,0.182509819417208,0.000363243591274418,0.000577203959525088,0,0.0039706435,False,RAC2; Rac family small GTPase,,
ILMN_2400292,0.000031886088,0.149369569421673,0.000548997341944934,0.00102498075048063,0,0.008328238,False,MAPK9; mitogen-activated protein kinase,,6.68843849187146E-06
ILMN_1699651,0.000027914048,0.13076264891999,0.000249251784466673,0.000423225346724855,0,0.0025037115,False,IL6; interleukin,,
ILMN_1687315,0.000027089069,0.126898055746568,0.000391710962242225,0.000719993141135891,0,0.0041762185,False,RXRA; retinoid X receptor,,0.0256797947934914
ILMN_1713603,0.000024670506,0.115568358797567,0.000490964898160425,0.00115149598154164,0,0.006536769,False,PRKCB; protein kinase C,,
ILMN_1748281,0.000024466168,0.11461114262616,0.00031301015069549,0.000671712886619972,0,0.006002632,False,MAPK10; mitogen-activated protein kinase,,
ILMN_2366634,0.000024089117,0.112844856792664,0.000323895743093074,0.00064258009043778,0,0.0049180547,False,PKM; pyruvate kinase,,4.32928057641252E-06
ILMN_1796316,0.000022519567,0.105492339679691,0.000565618731700678,0.00117566990195625,0,0.006530841,False,MMP9; matrix metallopeptidase,,
ILMN_2196097,0.00002248231,0.105317810209411,0.000231318678895998,0.000411170500458724,0,0.0032411013,False,PPP2CA; protein phosphatase 2 catalytic subunit,,
ILMN_1781290,0.000021888312,0.10253524166424,0.000393487790387927,0.000798327442191709,0,0.006324083,False,RHOA; ras homolog family member,,
ILMN_2293692,0.00002144554,0.100461087475367,0.00014912494593907,0.000270387887337953,0,0.0021132876,False,CREBBP; CREB binding,,
ILMN_1651498,0.000020072785,0.0940304515418701,0.000269643981922214,0.000544442430054403,0,0.0032168967,False,GADD45G; growth arrest and DNA damage inducible,,
ILMN_1692895,0.0000192323,0.090093220905256,0.000343274290881032,0.00058926861647521,0,0.005024298,False,PIK3R3; phosphoinositide-3-kinase regulatory subunit,,
ILMN_1695311,0.000017451966,0.0817532914975857,0.000221150432359605,0.000425378434036957,0,0.0030588007,False,HLA-DMA; major histocompatibility complex,,
ILMN_1802414,0.000017336535,0.0812125579096989,0.000448308261533771,0.0013420420982121,0,0.012914097,False,CA13; carbonic anhydrase,,
ILMN_1810595,0.000017294087,0.0810137113317552,0.000296427607673226,0.000629765325374537,0,0.004327969,False,PLA2G4E; phospholipase A2 group,,
ILMN_1782560,0.000016599184,0.0777584558767797,0.000336774862440178,0.000649185110498266,0,0.005764542,False,CD86; CD86,,1.26663304815327E-06
